Date,Open,High,Low,Close,Volume,buy_setup_count,sell_setup_count,buy_perfect,sell_perfect,buy_intersection,sell_intersection,buy_countdown_count,sell_countdown_count,buy_countdown_recycled,sell_countdown_recycled,tdst_support,tdst_resistance,bb_middle,bb_upper,bb_lower,recommendation
2025-07-16 00:00:00-04:00,209.4689902412225,211.5606828488181,207.8155461810567,209.3295440673828,47490500,3,0,False,False,False,False,0,0,False,False,,,205.19594345092773,216.43580053132797,193.9560863705275,HOLD
2025-07-17 00:00:00-04:00,209.7379389650813,210.9630743588066,208.7618004967043,209.1901092529297,48068100,4,0,False,False,False,False,0,0,False,False,,,205.91210250854493,216.16260150099254,195.66160351609733,HOLD
2025-07-18 00:00:00-04:00,210.03674740882613,210.95311022715865,208.87137245947412,210.34552001953125,48974600,0,1,False,False,False,False,0,0,False,False,,,206.63921813964845,215.88426749151043,197.39416878778647,HOLD
2025-07-21 00:00:00-04:00,211.2618775331451,214.92732845073886,210.7937335563828,211.64036560058594,51377400,0,2,False,False,False,False,0,0,False,False,,,207.2109489440918,216.19129459793322,198.23060329025037,HOLD
2025-07-22 00:00:00-04:00,212.29777975345726,214.1006251327807,211.39137195770533,213.55279541015625,46404100,0,3,False,False,False,False,0,0,False,False,,,207.85340042114257,216.7112496945882,198.99555114769694,HOLD
2025-07-23 00:00:00-04:00,214.15041924441525,214.29982043425818,211.57065737650467,213.30377197265625,46989300,0,4,False,False,False,False,0,0,False,False,,,208.5431640625,216.79251224023756,200.29381588476247,HOLD
2025-07-24 00:00:00-04:00,213.05475989741393,214.83769515517375,212.68622683006964,212.91531372070312,46022600,0,5,False,False,False,False,0,0,False,False,,,209.1507537841797,216.75207368137998,201.54943388697941,HOLD
2025-07-25 00:00:00-04:00,213.85160291428238,214.38947759784276,212.5567368669443,213.03485107421875,40268800,0,6,False,False,False,False,0,0,False,False,,,209.79220886230468,216.3021061503952,203.28231157421416,HOLD
2025-07-28 00:00:00-04:00,213.18425263148458,214.00101967144602,212.2180844005514,213.2041778564453,37858000,1,0,False,False,False,False,0,0,False,False,,,210.4381462097168,215.34178883095302,205.53450358848056,HOLD
2025-07-29 00:00:00-04:00,213.33365491441555,213.96117031669576,209.9869466315705,210.43516540527344,51411700,2,0,False,False,False,False,0,0,False,False,,,210.7419418334961,214.7266060351436,206.7572776318486,HOLD
2025-07-30 00:00:00-04:00,211.06265157316113,211.55072076453234,206.89917652304968,208.2239227294922,45512500,3,0,False,False,False,False,0,0,False,False,,,210.80319900512694,214.57769687791603,207.02870113233786,HOLD
2025-07-31 00:00:00-04:00,207.66614913739534,209.01080544085684,206.3414028602417,206.74978637695312,80698400,4,0,False,False,False,False,0,0,False,False,,,210.56066207885743,214.72290855089133,206.39841560682353,HOLD
2025-08-01 00:00:00-04:00,210.03674932642843,212.7360475386617,200.7037794341265,201.58030700683594,104434500,5,0,False,False,False,False,0,0,False,False,,,210.00436935424804,215.66391707831826,204.34482163017782,HOLD
2025-08-04 00:00:00-04:00,203.70186769022786,207.0585613783641,200.88304868853191,202.5464630126953,75109300,6,0,False,False,False,False,0,0,False,False,,,209.6756736755371,216.24230204852623,203.10904530254797,HOLD
2025-08-05 00:00:00-04:00,202.59623250724772,204.52856877803342,201.3611422546983,202.11813354492188,44155100,7,0,False,False,False,False,0,0,False,False,,,209.32257308959962,216.70961940254497,201.93552677665426,HOLD
